customerid,gender,seniorcitizen,partner,dependents,tenure,phoneservice,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,monthlycharges,totalcharges,churn
5899-OUVKV,male,0,no,no,31,yes,no,fiber optic,no,yes,no,no,yes,yes,month-to-month,yes,electronic check,94.5,2979.2,0
8681-ICONS,male,0,yes,yes,29,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,mailed check,20.65,654.85,0
1621-YNCJH,female,0,yes,no,36,yes,yes,fiber optic,yes,yes,yes,yes,no,yes,two year,yes,credit card (automatic),106.05,3834.4,0
3473-XIIIT,female,0,yes,no,16,yes,yes,fiber optic,no,yes,no,no,yes,yes,month-to-month,yes,electronic check,100.0,1534.75,1
6362-QHAFM,male,0,yes,no,42,yes,yes,fiber optic,no,no,yes,yes,yes,yes,one year,yes,electronic check,108.3,4586.15,0
7893-IXHRQ,male,0,no,no,1,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,electronic check,20.55,20.55,1
3070-BDOQC,female,0,no,no,60,yes,no,fiber optic,no,yes,yes,no,yes,yes,two year,yes,electronic check,99.65,5941.05,0
2952-QAYZF,male,0,no,no,5,yes,yes,fiber optic,no,yes,yes,no,no,no,month-to-month,yes,electronic check,85.3,424.15,1
6234-PFPXL,male,0,yes,no,22,yes,yes,fiber optic,yes,no,no,yes,yes,no,month-to-month,no,credit card (automatic),95.9,2234.95,0
9824-QCJPK,male,0,yes,no,36,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,mailed check,20.0,666.75,0
4763-PGDPO,female,0,no,no,4,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,no,electronic check,70.4,281.0,1
4283-IVYCI,male,0,no,no,9,yes,no,dsl,yes,no,no,yes,no,yes,month-to-month,no,mailed check,64.95,547.8,0
1866-OBPNR,male,0,yes,yes,1,yes,no,fiber optic,no,yes,no,no,no,no,month-to-month,no,credit card (automatic),74.6,74.6,0
8205-MQUGY,male,0,yes,yes,12,yes,no,dsl,yes,no,no,no,no,no,month-to-month,yes,electronic check,49.2,571.15,0
8970-ANWXO,female,0,no,no,23,yes,yes,dsl,no,no,no,yes,yes,yes,one year,yes,mailed check,73.75,1756.6,0
9480-BQJEI,male,0,no,no,62,yes,yes,fiber optic,yes,yes,no,no,no,yes,one year,yes,bank transfer (automatic),92.3,5731.45,0
5394-SVGJV,male,0,no,no,37,yes,yes,fiber optic,no,no,no,yes,yes,yes,month-to-month,no,bank transfer (automatic),98.8,3475.55,1
6979-TNDEU,female,0,no,no,8,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,19.2,156.85,0
9777-WJJPR,male,0,yes,no,31,yes,yes,fiber optic,no,no,yes,no,yes,no,month-to-month,no,credit card (automatic),88.65,2683.2,0
9283-LZQOH,male,0,yes,yes,13,yes,yes,fiber optic,no,no,no,no,no,no,month-to-month,yes,credit card (automatic),74.4,896.75,1
7079-QRCBC,female,0,no,no,24,yes,yes,fiber optic,no,no,yes,no,yes,yes,month-to-month,yes,electronic check,98.75,2407.3,1
9495-SKLKD,male,0,yes,yes,45,yes,yes,fiber optic,no,yes,yes,no,no,yes,month-to-month,yes,bank transfer (automatic),95.95,4456.65,0
6048-UWKAL,female,1,yes,no,69,yes,yes,fiber optic,no,yes,no,yes,yes,yes,two year,no,credit card (automatic),105.4,6998.95,0
5067-DGXLL,male,0,no,no,2,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,20.25,36.8,0
5469-CTCWN,male,0,yes,yes,61,yes,yes,fiber optic,yes,yes,no,no,yes,yes,one year,yes,electronic check,106.0,6547.7,1
9851-QXEEQ,male,0,no,no,41,yes,yes,fiber optic,no,yes,yes,no,yes,yes,month-to-month,yes,electronic check,104.7,4346.4,1
6281-FKEWS,female,0,no,no,44,no,no phone service,dsl,no,no,yes,no,yes,yes,one year,yes,electronic check,49.05,2265.0,0
8898-KASCD,male,0,no,no,39,no,no phone service,dsl,no,no,yes,yes,no,no,one year,no,mailed check,35.55,1309.15,0
9242-TKFSV,male,0,yes,yes,72,no,no phone service,dsl,yes,yes,yes,yes,yes,yes,two year,yes,credit card (automatic),65.1,4754.3,0
9290-SHCMB,female,1,no,no,13,yes,no,fiber optic,no,no,yes,no,yes,yes,month-to-month,yes,electronic check,96.85,1235.55,0
0743-HNPFG,female,0,yes,yes,51,yes,no,dsl,yes,yes,no,yes,no,yes,one year,yes,credit card (automatic),69.75,3562.5,0
2277-BKJKN,female,1,yes,no,71,yes,no,fiber optic,no,yes,yes,no,yes,yes,two year,yes,electronic check,99.2,7213.75,0
9809-IMGCQ,male,1,no,no,22,yes,yes,fiber optic,no,no,no,no,yes,yes,month-to-month,yes,electronic check,96.7,2082.95,1
5208-HFSBT,female,0,no,no,2,yes,no,dsl,no,yes,no,yes,no,no,month-to-month,yes,credit card (automatic),55.05,102.75,1
5035-PGZXH,female,0,no,no,56,yes,yes,fiber optic,no,yes,yes,no,yes,yes,one year,yes,electronic check,106.8,5914.4,0
8695-WDYEA,male,0,no,no,1,yes,no,dsl,yes,no,no,no,no,no,month-to-month,no,mailed check,51.25,51.25,0
6543-JXSOO,female,0,yes,yes,23,yes,no,dsl,yes,yes,no,yes,no,no,one year,yes,mailed check,57.75,1282.85,0
8016-ZMGMO,female,1,yes,no,66,yes,yes,dsl,no,yes,yes,no,yes,no,one year,yes,bank transfer (automatic),70.85,4738.85,0
8605-ITULD,female,0,no,no,1,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,19.55,19.55,0
3254-YRILK,male,1,no,no,19,yes,yes,fiber optic,no,yes,no,no,yes,no,month-to-month,yes,electronic check,88.2,1775.8,1
6416-YJTTB,male,0,no,no,11,yes,no,fiber optic,yes,no,yes,no,no,no,month-to-month,yes,bank transfer (automatic),79.5,795.65,0
2667-WYLWJ,female,0,yes,yes,8,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,yes,mailed check,19.75,145.0,1
4472-VESGY,female,0,yes,yes,52,yes,yes,fiber optic,yes,yes,yes,no,no,yes,month-to-month,no,bank transfer (automatic),98.15,4993.4,0
3195-TQDZX,male,0,no,no,3,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,electronic check,20.25,61.45,0
3128-YOVTD,female,0,yes,yes,51,yes,no,fiber optic,yes,yes,no,no,no,no,month-to-month,yes,bank transfer (automatic),79.15,4018.55,0
0529-ONKER,male,1,no,no,15,yes,yes,fiber optic,no,no,no,no,no,no,month-to-month,no,electronic check,75.65,1146.65,1
1728-CXQBE,male,1,yes,no,64,yes,yes,fiber optic,no,yes,yes,no,no,yes,month-to-month,yes,electronic check,94.25,6081.4,0
7041-TXQJH,female,0,no,no,37,no,no phone service,dsl,no,no,yes,no,no,yes,month-to-month,yes,credit card (automatic),40.2,1478.85,0
5014-GSOUQ,male,0,no,no,13,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,mailed check,19.95,243.65,0
5724-BIDBU,male,0,yes,no,49,yes,yes,dsl,yes,no,no,no,no,no,one year,yes,electronic check,55.35,2633.95,0
0481-SUMCB,female,1,no,no,45,yes,yes,fiber optic,no,no,yes,no,yes,yes,one year,yes,bank transfer (automatic),102.15,4735.35,0
1769-GRUIK,female,0,no,no,18,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,71.1,1247.75,0
5240-IJOQT,male,1,no,no,1,yes,yes,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,74.7,74.7,1
8819-WFGGJ,male,0,yes,no,68,no,no phone service,dsl,yes,no,yes,no,yes,yes,two year,yes,bank transfer (automatic),54.1,3794.5,0
7427-AUFPY,male,0,no,no,54,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,credit card (automatic),19.65,1008.7,0
2811-POVEX,female,1,yes,yes,23,yes,no,fiber optic,no,yes,yes,no,no,yes,month-to-month,yes,bank transfer (automatic),88.45,2130.55,0
1092-GANHU,male,0,no,no,17,yes,no,fiber optic,no,no,yes,no,no,no,month-to-month,yes,electronic check,76.65,1313.55,1
7898-PDWQE,male,0,yes,no,71,yes,yes,dsl,yes,yes,yes,yes,no,yes,two year,no,credit card (automatic),80.4,5727.15,0
9972-EWRJS,female,0,yes,yes,67,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,bank transfer (automatic),19.25,1372.9,0
9314-IJWSQ,female,0,yes,yes,14,yes,yes,fiber optic,no,no,no,no,yes,no,month-to-month,yes,electronic check,84.8,1203.9,0
0661-XEYAN,female,1,no,no,1,no,no phone service,dsl,no,no,no,no,no,no,month-to-month,yes,mailed check,25.8,25.8,1
5799-JRCZO,female,0,no,yes,63,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,credit card (automatic),19.5,1215.1,0
1921-KYSAY,female,0,no,no,41,yes,yes,dsl,no,no,yes,yes,no,yes,one year,yes,electronic check,68.6,2877.05,0
6198-RTPMF,female,0,yes,no,17,yes,yes,fiber optic,no,no,no,no,yes,yes,month-to-month,no,electronic check,92.6,1579.7,0
2924-KHUVI,male,0,yes,no,56,yes,yes,fiber optic,yes,no,no,no,yes,yes,one year,yes,electronic check,100.55,5514.95,0
1925-GMVBW,female,0,no,no,5,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,credit card (automatic),20.55,96.1,0
7881-EVUAD,female,0,no,no,2,no,no phone service,dsl,yes,yes,no,no,no,yes,month-to-month,yes,electronic check,42.6,72.4,1
6184-DYUOB,female,0,yes,no,3,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,mailed check,19.6,55.25,0
9207-ZPANB,male,0,no,no,37,yes,yes,dsl,yes,yes,yes,yes,no,no,one year,no,electronic check,67.45,2443.3,0
5766-XQXMQ,female,0,no,no,29,yes,no,dsl,yes,yes,yes,no,no,yes,month-to-month,yes,bank transfer (automatic),68.85,1970.5,1
9327-QSDED,male,0,no,no,8,yes,no,dsl,no,no,no,no,no,no,month-to-month,no,mailed check,43.55,335.4,0
1656-DRSMG,female,0,no,no,63,yes,yes,fiber optic,no,yes,yes,yes,yes,yes,month-to-month,yes,credit card (automatic),109.85,7002.95,0
3012-VFFMN,female,0,yes,yes,7,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,20.65,158.95,0
2984-AFWNC,female,0,no,no,3,yes,no,fiber optic,no,yes,no,no,yes,yes,month-to-month,no,electronic check,95.4,293.15,0
0640-YJTPY,male,0,yes,yes,72,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,bank transfer (automatic),21.0,1493.75,0
8096-LOIST,female,0,no,no,19,yes,no,dsl,no,no,no,no,no,yes,month-to-month,yes,electronic check,56.2,1093.4,0
9764-REAFF,female,0,yes,no,59,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,bank transfer (automatic),18.4,1057.85,0
3703-VAVCL,male,0,yes,yes,2,yes,no,fiber optic,no,no,yes,yes,no,yes,month-to-month,no,credit card (automatic),90.0,190.05,1
7107-UBYKY,female,0,yes,yes,35,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,electronic check,25.75,882.55,0
4881-GQJTW,male,0,no,no,14,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,credit card (automatic),19.6,300.4,0
8519-QJGJD,female,0,no,no,14,yes,no,fiber optic,no,no,yes,no,no,no,month-to-month,no,electronic check,75.35,1025.95,1
7876-DNYAP,female,0,yes,yes,69,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,credit card (automatic),19.8,1436.95,0
7905-NJMXS,male,1,yes,no,7,yes,yes,dsl,yes,yes,no,yes,no,no,month-to-month,no,electronic check,64.2,475.0,0
2882-WDTBA,male,0,yes,yes,69,yes,no,dsl,yes,yes,yes,yes,yes,no,two year,yes,bank transfer (automatic),75.75,5388.15,0
2091-GPPIQ,female,0,yes,yes,72,yes,yes,dsl,no,yes,no,yes,yes,yes,two year,yes,electronic check,78.95,5730.15,0
6326-MTTXK,male,0,no,no,8,yes,yes,fiber optic,no,yes,no,no,yes,yes,month-to-month,no,electronic check,100.85,819.55,1
5071-FBJFS,female,0,yes,yes,4,yes,no,dsl,yes,no,no,no,no,no,month-to-month,no,electronic check,50.3,217.1,0
2796-UUZZO,male,0,yes,yes,63,yes,no,fiber optic,no,yes,yes,no,no,no,month-to-month,yes,credit card (automatic),80.3,4896.35,0
2429-AYKKO,male,0,no,no,72,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,bank transfer (automatic),19.85,1434.1,0
9798-OPFEM,female,0,no,no,46,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,electronic check,21.1,937.1,0
0330-IVZHA,female,0,yes,no,5,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,no,electronic check,69.95,330.15,1
3794-NFNCH,male,0,yes,no,30,yes,no,dsl,no,no,yes,no,no,no,month-to-month,yes,mailed check,50.0,1474.9,0
5193-QLVZB,male,0,no,no,63,yes,yes,fiber optic,no,yes,yes,no,yes,yes,two year,yes,bank transfer (automatic),104.75,6536.5,0
7114-AEOZE,female,0,no,no,60,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,bank transfer (automatic),19.85,1128.1,0
2886-KEFUM,female,0,yes,no,63,yes,yes,fiber optic,no,yes,yes,no,yes,yes,one year,yes,electronic check,107.5,6873.75,1
5522-NYKPB,male,0,yes,yes,25,yes,no,fiber optic,no,no,no,yes,yes,no,month-to-month,no,electronic check,85.9,2199.05,0
4237-RLAQD,male,0,no,no,1,yes,no,dsl,no,no,no,no,no,no,month-to-month,yes,mailed check,45.85,45.85,1
9957-YODKZ,male,1,yes,no,6,yes,yes,fiber optic,no,no,yes,no,no,no,month-to-month,yes,electronic check,80.8,457.1,0
6518-KZXCB,male,0,no,no,22,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,mailed check,25.25,566.5,0
2245-ADZFJ,female,0,yes,yes,31,yes,yes,dsl,no,yes,no,yes,yes,yes,two year,no,bank transfer (automatic),80.55,2471.6,0
7776-QGYJC,female,0,yes,yes,39,yes,no,fiber optic,no,no,yes,yes,no,no,month-to-month,yes,bank transfer (automatic),81.5,3107.3,0
9313-QOLTZ,male,0,no,no,26,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,20.9,518.3,0
9651-GTSAQ,female,0,yes,no,53,yes,no,fiber optic,yes,yes,yes,no,yes,yes,one year,yes,bank transfer (automatic),106.1,5769.75,1
3186-BAXNB,female,0,no,no,1,yes,no,fiber optic,no,yes,no,yes,yes,no,month-to-month,no,electronic check,91.7,91.7,1
4672-FOTSD,male,0,no,no,12,yes,yes,dsl,yes,yes,no,yes,no,no,month-to-month,yes,electronic check,67.25,832.3,0
0637-YLETY,female,0,no,no,16,yes,yes,fiber optic,no,yes,yes,no,no,yes,month-to-month,yes,credit card (automatic),95.6,1555.65,1
9818-XQCUV,female,0,no,no,2,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,20.35,45.3,0
7338-ERIVA,male,0,no,yes,39,no,no phone service,dsl,yes,no,no,yes,yes,no,one year,no,bank transfer (automatic),45.05,1790.6,0
1157-BQCUW,male,0,no,no,1,yes,yes,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,74.95,74.95,1
8259-NFJTV,female,0,yes,yes,7,no,no phone service,dsl,yes,no,no,yes,no,no,month-to-month,no,mailed check,34.65,246.6,0
3223-DWFIO,male,1,no,no,4,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,no,electronic check,69.35,261.65,0
2660-EMUBI,male,1,no,no,10,yes,yes,fiber optic,no,no,no,no,yes,yes,month-to-month,yes,electronic check,95.35,898.35,1
6968-GMKPR,female,0,no,no,55,yes,no,fiber optic,no,yes,yes,no,no,no,month-to-month,yes,electronic check,81.55,4509.5,0
4751-ERMAN,male,0,yes,yes,72,yes,no,dsl,no,yes,yes,no,yes,yes,two year,yes,bank transfer (automatic),75.4,5480.25,0
1436-ZMJAN,female,0,yes,no,10,yes,no,dsl,no,no,yes,no,yes,yes,month-to-month,yes,credit card (automatic),67.8,653.15,0
3292-PBZEJ,male,1,no,no,11,yes,yes,fiber optic,no,yes,yes,yes,yes,yes,month-to-month,yes,electronic check,111.4,1183.05,0
0799-DDIHE,female,0,yes,yes,15,yes,no,dsl,no,no,no,no,no,no,month-to-month,no,electronic check,46.3,639.45,0
3070-FNFZQ,female,0,yes,yes,23,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,bank transfer (automatic),20.4,478.75,0
2812-SFXMJ,male,0,no,yes,1,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,20.05,20.05,0
7675-OZCZG,female,1,no,no,3,yes,no,dsl,no,no,no,no,no,no,month-to-month,no,electronic check,45.0,127.1,1
5014-WUQMG,male,0,yes,yes,47,yes,no,fiber optic,yes,yes,yes,no,no,yes,one year,yes,electronic check,96.1,4391.45,0
5312-TSZVC,female,0,no,yes,15,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,mailed check,19.65,270.6,0
2003-CKLOR,male,0,no,no,66,yes,no,fiber optic,no,yes,yes,no,yes,yes,month-to-month,no,electronic check,99.5,6710.5,1
0993-OSGPT,female,1,yes,no,68,yes,no,dsl,no,yes,yes,yes,no,no,one year,yes,bank transfer (automatic),60.65,3975.9,0
9254-RBFON,female,0,yes,yes,17,yes,no,fiber optic,no,no,yes,yes,yes,yes,one year,no,bank transfer (automatic),98.6,1704.95,1
1205-WNWPJ,female,0,no,no,7,yes,no,dsl,no,no,no,yes,yes,no,month-to-month,yes,mailed check,59.5,415.95,1
9391-EOYLI,male,1,yes,no,12,yes,no,fiber optic,no,no,no,no,no,yes,month-to-month,yes,electronic check,80.45,950.2,1
7108-DGVUU,female,1,yes,no,21,yes,yes,dsl,no,yes,yes,no,no,yes,one year,no,bank transfer (automatic),71.7,1497.05,0
2782-JEEBU,male,0,no,no,21,no,no phone service,dsl,no,yes,no,yes,no,no,month-to-month,yes,mailed check,36.0,780.15,0
5127-BZENZ,female,0,yes,yes,56,yes,yes,dsl,yes,no,no,no,yes,no,one year,no,bank transfer (automatic),65.2,3512.15,0
2720-FVBQP,female,0,yes,yes,6,yes,yes,dsl,no,no,no,no,no,no,month-to-month,yes,credit card (automatic),48.95,273.25,0
9906-NHHVC,female,1,no,no,65,no,no phone service,dsl,no,yes,yes,no,yes,yes,two year,yes,bank transfer (automatic),53.5,3517.9,0
4522-XRWWI,male,0,yes,no,42,yes,yes,dsl,yes,no,no,yes,yes,yes,one year,no,credit card (automatic),80.45,3375.9,0
3766-EJLFL,female,0,yes,yes,68,yes,yes,fiber optic,yes,no,yes,yes,yes,yes,two year,yes,bank transfer (automatic),109.05,7508.55,0
5939-SXWHM,male,0,yes,yes,48,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,bank transfer (automatic),26.3,1245.05,0
8152-UOBNY,female,1,no,no,50,yes,yes,fiber optic,no,yes,no,yes,yes,yes,one year,yes,electronic check,106.8,5347.95,0
7351-KYHQH,female,1,no,no,7,yes,no,dsl,no,yes,yes,no,yes,no,month-to-month,yes,electronic check,64.95,493.65,0
7643-RCHXS,female,0,yes,yes,63,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,electronic check,19.35,1263.85,0
8246-SHFGA,male,0,no,no,17,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,credit card (automatic),21.1,385.55,0
8387-MOJJT,female,0,yes,yes,42,yes,no,fiber optic,no,no,no,no,yes,no,month-to-month,yes,credit card (automatic),77.95,3384.0,1
0620-XEFWH,male,0,yes,yes,4,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,18.85,84.2,0
6485-QXWWE,female,0,no,yes,62,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,bank transfer (automatic),26.0,1638.7,0
2761-OCIAX,male,1,no,no,2,yes,no,fiber optic,no,yes,no,no,no,no,month-to-month,yes,electronic check,74.7,165.4,1
7321-VGNKU,female,0,yes,no,2,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,70.35,120.25,0
5327-CNLUQ,male,0,yes,no,48,yes,yes,fiber optic,yes,yes,yes,no,yes,no,two year,yes,bank transfer (automatic),96.9,4473.45,0
7552-KEYGT,male,0,yes,no,27,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,bank transfer (automatic),19.55,520.55,0
5816-JMLGY,female,0,yes,yes,70,yes,no,dsl,no,yes,yes,yes,yes,yes,two year,yes,bank transfer (automatic),80.4,5717.85,0
3068-OMWZA,male,1,no,no,1,yes,yes,fiber optic,no,no,yes,no,yes,no,month-to-month,yes,electronic check,88.8,88.8,1
2927-QRRQV,male,0,yes,no,46,yes,yes,fiber optic,no,yes,yes,no,yes,no,one year,yes,electronic check,94.65,4312.5,0
6032-KRXXO,male,0,no,no,30,yes,no,fiber optic,no,no,no,no,yes,yes,month-to-month,yes,electronic check,90.25,2755.35,1
7459-RRWQZ,female,0,no,no,15,yes,yes,dsl,yes,no,no,no,no,yes,month-to-month,yes,bank transfer (automatic),64.65,994.55,1
6265-SXWBU,male,0,yes,yes,69,yes,yes,fiber optic,no,yes,yes,no,yes,no,one year,no,credit card (automatic),95.75,6511.25,0
7941-RCJOW,male,0,no,no,65,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,credit card (automatic),19.55,1218.65,0
6374-NTQLP,male,1,yes,yes,72,yes,no,fiber optic,yes,no,yes,yes,yes,yes,two year,yes,credit card (automatic),104.1,7447.7,0
4154-AQUGT,male,1,yes,no,13,yes,no,fiber optic,no,yes,no,yes,no,yes,month-to-month,yes,bank transfer (automatic),89.05,1169.35,1
2387-KDZQY,male,0,no,no,17,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,yes,mailed check,20.1,279.5,0
3584-WKTTW,male,0,yes,no,51,yes,yes,fiber optic,yes,no,yes,yes,yes,yes,one year,yes,electronic check,111.55,5720.35,0
3399-BMLVW,male,0,yes,yes,51,yes,no,dsl,yes,yes,no,yes,no,no,two year,no,credit card (automatic),60.5,3121.45,0
1971-DTCZB,female,0,yes,no,72,yes,yes,dsl,yes,yes,yes,yes,yes,yes,two year,yes,bank transfer (automatic),90.95,6468.6,0
3092-IGHWF,male,0,yes,yes,67,yes,yes,fiber optic,no,yes,yes,no,no,no,one year,no,electronic check,87.4,5918.8,1
3374-PZLXD,male,0,no,no,34,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,19.7,675.6,0
3813-DHBBB,male,0,yes,no,67,no,no phone service,dsl,yes,yes,no,yes,no,yes,two year,yes,bank transfer (automatic),50.95,3521.7,0
2812-REYAT,female,0,yes,no,49,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,yes,bank transfer (automatic),20.05,923.1,0
6518-PPLMZ,male,0,yes,yes,53,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,mailed check,19.4,1110.35,0
4939-KYYPY,male,0,no,no,27,yes,yes,dsl,no,no,yes,yes,no,no,month-to-month,no,electronic check,59.45,1611.65,0
8017-LXHFA,female,1,no,no,23,yes,no,fiber optic,no,yes,no,no,yes,yes,month-to-month,yes,electronic check,94.75,2293.6,1
5930-GBIWP,male,0,no,no,69,yes,yes,dsl,yes,yes,yes,yes,no,yes,two year,yes,credit card (automatic),81.5,5553.25,0
6022-KOUQO,female,0,yes,yes,2,no,no phone service,dsl,no,no,no,yes,no,no,month-to-month,no,bank transfer (automatic),29.05,44.75,0
6352-TWCAU,female,0,no,no,35,yes,yes,fiber optic,no,no,no,no,yes,no,month-to-month,yes,electronic check,86.45,3029.1,1
2361-UPSND,female,0,yes,no,46,yes,no,dsl,yes,yes,no,yes,no,yes,one year,no,mailed check,70.6,3231.05,0
6035-RIIOM,female,0,no,no,54,yes,yes,fiber optic,no,yes,no,no,yes,yes,two year,yes,bank transfer (automatic),97.2,5129.45,0
2929-QNSRW,female,0,yes,no,56,yes,yes,fiber optic,no,yes,no,no,yes,yes,one year,yes,electronic check,98.25,5508.35,1
1262-OPMFY,female,0,yes,no,9,yes,no,fiber optic,no,no,yes,no,no,no,month-to-month,yes,bank transfer (automatic),75.75,655.9,1
9504-DSHWM,male,0,no,no,20,yes,yes,dsl,yes,no,no,yes,no,no,month-to-month,no,bank transfer (automatic),59.2,1191.2,0
5035-BVCXS,male,0,no,no,11,yes,no,fiber optic,no,yes,no,no,no,no,month-to-month,yes,mailed check,75.9,866.4,0
6267-DCFFZ,female,1,yes,no,30,yes,yes,fiber optic,no,yes,no,no,yes,no,month-to-month,yes,electronic check,90.05,2627.2,0
3533-UVMOM,male,0,yes,no,68,yes,no,dsl,yes,yes,yes,no,no,yes,two year,no,bank transfer (automatic),70.95,4741.45,0
2439-LYPMQ,male,1,yes,no,38,yes,yes,fiber optic,no,yes,yes,no,yes,yes,month-to-month,yes,electronic check,102.6,4009.2,0
4248-QPAVC,female,1,yes,no,17,yes,yes,fiber optic,yes,no,yes,no,no,no,month-to-month,yes,bank transfer (automatic),85.35,1463.45,1
1899-VXWXM,male,0,no,no,48,yes,yes,fiber optic,no,yes,yes,no,yes,yes,one year,yes,credit card (automatic),106.1,5082.8,1
1478-VPOAD,female,0,no,no,1,yes,no,dsl,no,no,no,no,no,no,month-to-month,no,electronic check,43.8,43.8,0
9995-HOTOH,male,0,yes,yes,63,no,no phone service,dsl,yes,yes,yes,no,yes,yes,two year,no,electronic check,59.0,3707.6,0
2988-PLAHS,female,0,no,no,3,yes,no,dsl,no,no,yes,no,yes,yes,one year,yes,electronic check,69.95,220.45,0
1371-OJCEK,female,0,no,no,48,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,bank transfer (automatic),24.35,1133.7,0
4999-IEZLT,male,0,no,no,66,no,no phone service,dsl,no,no,no,yes,no,no,one year,no,credit card (automatic),29.45,1983.15,0
8883-ANODQ,female,0,yes,yes,68,yes,yes,fiber optic,no,yes,yes,no,no,no,two year,yes,credit card (automatic),84.4,5746.75,0
4690-LLKUA,male,1,no,no,17,yes,no,dsl,no,no,no,no,no,no,month-to-month,yes,electronic check,45.05,770.6,1
2351-RRBUE,female,0,yes,yes,7,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,mailed check,20.65,134.05,0
5980-BDHPY,male,0,yes,no,72,yes,yes,dsl,yes,yes,yes,yes,yes,yes,two year,yes,bank transfer (automatic),87.1,6230.1,0
1498-DQNRX,female,0,yes,no,29,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,19.85,573.05,0
9469-WEJBT,male,0,yes,no,37,yes,no,fiber optic,no,no,yes,yes,no,yes,month-to-month,yes,electronic check,90.35,3419.3,0
