customerid,gender,seniorcitizen,partner,dependents,tenure,phoneservice,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,monthlycharges,totalcharges,churn
2398-YPMUR,female,1,yes,no,13,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,70.15,916.75,1
8769-KKTPH,female,0,yes,yes,63,yes,yes,fiber optic,yes,no,no,no,yes,yes,one year,yes,credit card (automatic),99.65,6311.2,0
6599-RCLCJ,male,0,yes,no,47,yes,yes,fiber optic,no,yes,yes,yes,yes,yes,month-to-month,yes,electronic check,109.55,5124.55,1
0078-XZMHT,male,0,yes,no,72,yes,yes,dsl,no,yes,yes,yes,yes,yes,two year,yes,bank transfer (automatic),85.15,6316.2,0
6341-AEVKX,female,0,yes,no,62,yes,no,fiber optic,yes,no,yes,yes,yes,yes,one year,yes,electronic check,104.3,6613.65,0
0384-RVBPI,male,0,no,no,20,yes,no,dsl,yes,no,yes,no,no,yes,month-to-month,no,credit card (automatic),64.4,1398.6,0
8565-CLBZW,male,0,no,no,24,yes,yes,fiber optic,no,no,yes,no,yes,no,month-to-month,yes,mailed check,89.85,2165.05,1
4484-GLZOU,female,0,yes,no,52,yes,yes,fiber optic,no,yes,yes,no,yes,yes,month-to-month,yes,electronic check,105.05,5624.85,1
9209-NWPGU,male,0,no,no,44,yes,no,dsl,yes,no,no,yes,yes,no,one year,no,electronic check,65.4,2774.55,0
2675-DHUTR,male,1,yes,no,58,yes,yes,fiber optic,no,yes,no,no,yes,yes,month-to-month,yes,electronic check,98.9,5780.7,0
8058-DMYRU,male,1,no,no,54,yes,yes,fiber optic,no,yes,no,no,no,yes,month-to-month,yes,electronic check,90.05,4931.8,0
2225-ZRGSG,female,0,yes,yes,70,yes,yes,fiber optic,yes,yes,yes,yes,no,no,two year,no,bank transfer (automatic),93.9,6579.05,1
7251-LJBQN,female,1,no,no,40,yes,yes,fiber optic,no,no,yes,yes,yes,yes,one year,yes,credit card (automatic),103.75,4188.4,0
5457-COLHT,male,0,yes,yes,69,yes,no,dsl,yes,yes,no,yes,yes,yes,two year,no,bank transfer (automatic),80.65,5542.55,0
1226-IENZN,male,1,no,no,16,yes,no,fiber optic,no,no,no,no,no,yes,month-to-month,yes,electronic check,78.75,1218.25,0
5419-JKZNQ,male,1,yes,no,30,yes,yes,fiber optic,no,no,no,no,no,no,month-to-month,no,mailed check,77.9,2351.45,0
1731-TVIUK,female,0,no,no,4,yes,yes,fiber optic,no,yes,no,yes,no,yes,month-to-month,yes,electronic check,93.5,362.2,1
1641-BYBTK,male,0,no,yes,6,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,mailed check,20.2,98.35,0
3470-OBUET,female,0,yes,yes,67,yes,yes,dsl,yes,yes,no,yes,yes,no,two year,no,credit card (automatic),74.0,4868.4,0
7550-WIQVA,male,0,yes,yes,50,yes,yes,fiber optic,yes,yes,yes,no,yes,yes,one year,yes,electronic check,108.25,5431.4,0
3891-NLXJB,male,0,no,no,37,no,no phone service,dsl,yes,yes,no,yes,no,no,two year,yes,mailed check,40.55,1390.85,0
6680-WKXRZ,female,0,no,no,3,yes,yes,fiber optic,no,no,no,no,no,no,month-to-month,no,bank transfer (automatic),74.4,215.8,1
9948-YPTDG,male,0,yes,no,38,yes,no,fiber optic,yes,yes,no,no,no,no,month-to-month,yes,electronic check,79.45,3013.05,1
1150-WFARN,female,0,yes,yes,67,yes,yes,fiber optic,yes,no,yes,yes,yes,yes,two year,yes,credit card (automatic),108.75,7156.2,1
6260-XLACS,male,0,no,no,4,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,mailed check,19.7,117.8,0
7266-GSSJX,male,0,yes,yes,11,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,electronic check,20.45,250.8,0
5515-IDEJJ,male,0,yes,yes,1,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,19.9,19.9,1
9780-FKVVF,male,0,no,no,6,yes,no,dsl,yes,no,no,no,no,yes,month-to-month,yes,bank transfer (automatic),59.15,336.7,0
0581-MDMPW,female,0,no,no,24,yes,yes,fiber optic,no,no,yes,no,yes,no,month-to-month,yes,credit card (automatic),88.95,2072.75,0
0991-BRRFB,male,0,no,no,18,yes,no,dsl,yes,no,no,no,no,no,month-to-month,no,electronic check,49.4,874.8,1
6161-ERDGD,male,0,yes,yes,71,yes,yes,dsl,yes,no,yes,yes,yes,yes,one year,no,electronic check,85.45,6300.85,0
2239-CFOUJ,male,0,yes,yes,1,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,mailed check,20.4,20.4,0
3071-VBYPO,male,0,yes,yes,3,yes,no,fiber optic,yes,yes,no,no,yes,no,month-to-month,no,electronic check,89.85,248.4,0
3359-DSRKA,female,0,yes,yes,58,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,mailed check,19.85,1158.85,0
6447-EGDIV,female,0,no,no,31,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,mailed check,20.95,683.25,0
2274-XUATA,male,1,yes,no,72,no,no phone service,dsl,yes,yes,yes,yes,yes,yes,two year,yes,bank transfer (automatic),63.1,4685.55,0
3889-VWBID,male,0,yes,yes,68,yes,no,dsl,yes,yes,no,yes,yes,yes,two year,no,bank transfer (automatic),82.85,5776.45,0
0156-FVPTA,male,0,yes,no,22,yes,no,dsl,yes,no,no,yes,no,no,month-to-month,yes,electronic check,54.2,1152.7,1
5641-DMBFJ,female,0,yes,no,58,yes,yes,dsl,yes,no,yes,yes,yes,yes,two year,yes,electronic check,84.3,4916.4,0
2324-EFHVG,male,0,no,no,64,yes,yes,fiber optic,no,yes,yes,no,yes,yes,two year,yes,bank transfer (automatic),104.4,6692.65,0
8857-CUPFQ,male,0,yes,no,63,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,mailed check,19.25,1237.65,0
3841-CONLJ,female,0,yes,no,1,no,no phone service,dsl,no,no,no,no,no,yes,month-to-month,no,electronic check,35.0,35.0,0
1080-BWSYE,male,1,yes,no,64,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,credit card (automatic),25.65,1740.8,0
9631-RXVJM,male,0,no,no,35,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,mailed check,19.25,677.9,0
2805-AUFQN,female,0,no,no,25,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,credit card (automatic),19.8,475.2,0
8108-UXRQN,female,0,yes,yes,11,no,no phone service,dsl,yes,no,no,no,yes,yes,month-to-month,no,electronic check,50.55,565.35,0
6127-ISGTU,female,0,yes,no,16,yes,yes,fiber optic,no,no,no,no,yes,no,month-to-month,yes,electronic check,84.95,1378.25,1
5692-ICXLW,male,1,no,no,31,yes,yes,fiber optic,no,yes,no,no,yes,no,month-to-month,yes,electronic check,90.7,2845.15,0
2081-VEYEH,male,0,no,no,3,yes,no,fiber optic,no,yes,yes,yes,yes,yes,month-to-month,yes,electronic check,107.95,318.6,0
1301-LOPVR,male,0,yes,yes,29,no,no phone service,dsl,yes,yes,yes,yes,no,yes,one year,yes,credit card (automatic),55.35,1636.95,0
4077-HWUYD,male,0,yes,yes,72,yes,yes,dsl,yes,yes,yes,yes,yes,yes,two year,yes,bank transfer (automatic),87.55,6463.15,0
2144-BFDSO,female,1,yes,no,50,yes,yes,fiber optic,yes,yes,yes,no,yes,yes,month-to-month,no,bank transfer (automatic),108.75,5431.9,0
9278-VZKCD,female,1,yes,no,52,yes,yes,fiber optic,yes,yes,yes,no,yes,yes,month-to-month,yes,electronic check,109.1,5647.95,0
9029-FEGVJ,female,1,yes,no,32,yes,yes,fiber optic,no,no,yes,no,no,no,month-to-month,no,mailed check,79.3,2570.0,0
8735-IJJEG,male,0,yes,no,14,yes,no,dsl,no,no,yes,no,no,no,month-to-month,no,credit card (automatic),50.2,668.85,0
9208-OLGAQ,female,1,no,no,18,yes,no,fiber optic,no,no,yes,no,no,yes,month-to-month,yes,electronic check,84.95,1443.65,0
0746-JTRFU,male,0,no,no,2,no,no phone service,dsl,no,no,no,no,no,no,month-to-month,yes,electronic check,25.05,56.35,1
2188-SXWVT,female,0,no,no,34,yes,no,dsl,yes,yes,no,no,no,no,one year,no,mailed check,55.0,1885.15,0
5569-KGJHX,female,0,yes,yes,9,yes,yes,fiber optic,no,no,no,no,yes,no,month-to-month,yes,bank transfer (automatic),85.35,754.65,1
2812-REYAT,female,0,yes,no,49,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,yes,bank transfer (automatic),20.05,923.1,0
2673-ZALNP,female,0,no,no,7,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,mailed check,19.9,173.15,0
4030-VPZBD,female,0,no,no,2,no,no phone service,dsl,no,no,no,yes,no,no,month-to-month,yes,electronic check,30.9,59.05,1
2379-ENZGV,male,0,no,no,6,yes,no,fiber optic,no,yes,no,no,yes,no,month-to-month,yes,electronic check,84.85,523.5,1
5569-IDSEY,male,0,yes,no,71,yes,yes,fiber optic,no,yes,yes,no,yes,yes,one year,yes,bank transfer (automatic),105.7,7472.15,0
1955-IBMMB,male,0,no,no,59,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,bank transfer (automatic),20.2,1192.3,0
0682-USIXD,female,0,yes,no,21,yes,no,fiber optic,no,no,no,yes,yes,no,month-to-month,yes,electronic check,86.05,1818.9,0
9541-ZPSEA,male,0,yes,yes,68,yes,no,fiber optic,yes,no,yes,no,no,no,two year,no,credit card (automatic),80.35,5375.15,0
4998-IKFSE,female,0,no,no,30,yes,yes,fiber optic,no,no,yes,no,yes,yes,month-to-month,no,electronic check,100.45,3096.9,0
6142-VSJQO,female,0,yes,yes,1,yes,no,dsl,no,no,no,no,no,no,month-to-month,yes,bank transfer (automatic),44.35,44.35,1
8879-ZKJOF,female,0,no,no,41,yes,no,dsl,yes,no,yes,yes,yes,yes,one year,yes,bank transfer (automatic),79.85,3320.75,0
7538-GWHML,female,0,no,no,2,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,no,electronic check,69.65,145.15,1
8532-UEFWH,male,0,yes,yes,52,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,mailed check,25.75,1345.85,0
8065-BVEPF,male,1,no,no,65,yes,no,fiber optic,no,yes,yes,no,yes,yes,month-to-month,yes,bank transfer (automatic),99.1,6496.15,0
1472-TNCWL,male,0,no,yes,36,yes,no,fiber optic,no,yes,no,no,yes,yes,month-to-month,yes,electronic check,94.7,3512.5,0
1452-XRSJV,female,0,yes,yes,39,yes,no,dsl,yes,no,no,no,no,no,month-to-month,no,credit card (automatic),51.05,2066.0,0
2501-XWWTZ,male,0,no,no,11,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,no,electronic check,70.2,760.05,0
9470-YFUYI,male,1,yes,no,71,yes,no,dsl,yes,yes,no,yes,yes,no,one year,yes,bank transfer (automatic),71.0,5012.1,0
1482-OXZSY,male,0,no,no,30,yes,yes,fiber optic,yes,no,no,no,yes,yes,month-to-month,yes,bank transfer (automatic),100.4,2936.25,0
1373-ORVIZ,female,0,yes,yes,11,yes,yes,dsl,no,no,no,yes,no,yes,month-to-month,yes,electronic check,66.35,740.8,1
0295-PPHDO,male,0,no,no,1,yes,yes,fiber optic,no,no,no,no,yes,yes,month-to-month,yes,electronic check,95.45,95.45,1
9955-QOPOY,male,0,yes,no,69,no,no phone service,dsl,no,yes,yes,yes,yes,yes,one year,yes,credit card (automatic),60.8,4263.4,0
1921-KYSAY,female,0,no,no,41,yes,yes,dsl,no,no,yes,yes,no,yes,one year,yes,electronic check,68.6,2877.05,0
4615-PIVVU,female,0,no,no,42,yes,no,dsl,no,no,yes,yes,no,yes,two year,no,credit card (automatic),66.5,2762.75,0
0685-MLYYM,female,1,no,no,2,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,no,electronic check,70.75,154.85,1
7250-EQKIY,female,0,yes,yes,1,yes,no,dsl,no,no,yes,no,no,no,month-to-month,no,mailed check,50.45,50.45,1
2302-OUZXB,male,0,yes,no,72,yes,yes,dsl,no,yes,yes,no,yes,yes,two year,no,bank transfer (automatic),82.15,5784.3,0
4628-WQCQQ,male,0,no,yes,35,yes,no,fiber optic,no,no,yes,no,yes,no,one year,yes,electronic check,85.15,3030.6,1
6292-TOSSS,male,0,no,no,50,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,bank transfer (automatic),24.9,1195.25,0
7251-XFOIL,female,0,no,no,61,yes,yes,fiber optic,no,no,yes,no,no,yes,month-to-month,no,mailed check,89.2,5500.6,0
0841-NULXI,male,0,no,no,1,no,no phone service,dsl,no,no,no,no,no,yes,month-to-month,yes,electronic check,35.55,35.55,1
5148-ORICT,female,0,yes,no,64,yes,no,dsl,yes,yes,yes,yes,no,yes,two year,yes,mailed check,74.35,4759.55,0
4349-GFQHK,male,0,no,no,1,yes,yes,dsl,no,no,yes,no,no,no,month-to-month,no,electronic check,54.35,54.35,1
1384-RCUXW,male,0,no,no,16,yes,yes,fiber optic,no,yes,no,no,no,no,month-to-month,yes,mailed check,80.55,1248.9,0
5356-CSVSQ,female,0,no,no,3,yes,yes,dsl,no,no,no,yes,yes,no,month-to-month,no,electronic check,64.6,174.2,0
7268-WNTCP,male,0,yes,yes,62,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,bank transfer (automatic),20.45,1297.35,0
0376-OIWME,male,0,yes,no,36,yes,no,fiber optic,yes,no,no,no,yes,yes,month-to-month,yes,electronic check,93.6,3366.05,0
7838-LAZFO,male,0,yes,no,45,yes,no,dsl,yes,yes,yes,no,yes,yes,one year,no,bank transfer (automatic),78.8,3597.5,0
3050-RLLXC,female,0,yes,yes,56,yes,yes,dsl,yes,yes,yes,yes,yes,no,two year,no,credit card (automatic),81.25,4620.4,0
0734-OXWBT,male,0,no,yes,3,yes,no,dsl,no,no,no,yes,yes,yes,month-to-month,no,mailed check,70.7,225.65,0
3733-ZEECP,male,0,yes,yes,22,yes,no,dsl,no,no,no,yes,no,no,month-to-month,yes,electronic check,51.1,1232.9,0
1989-PRJHP,male,1,yes,no,27,yes,yes,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,75.5,1893.95,1
2371-JQHZZ,male,0,yes,no,24,yes,yes,fiber optic,no,no,no,no,yes,yes,month-to-month,yes,electronic check,93.0,2248.05,0
5465-BUBFA,female,0,yes,yes,41,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,bank transfer (automatic),19.3,772.4,0
7599-NTMDP,female,0,yes,yes,62,no,no phone service,dsl,yes,yes,no,yes,yes,no,two year,no,bank transfer (automatic),48.7,3008.55,0
2586-CWXVV,male,0,yes,no,54,no,no phone service,dsl,no,yes,no,no,no,no,month-to-month,no,electronic check,30.4,1621.35,0
0096-FCPUF,male,0,no,no,30,yes,yes,dsl,yes,no,no,no,no,yes,month-to-month,yes,mailed check,64.5,1888.45,0
8725-JEDFD,male,0,no,no,27,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,yes,mailed check,69.05,1793.25,0
8065-YKXKD,female,0,no,no,10,yes,yes,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,74.75,799.65,1
6980-CDGFC,female,0,yes,no,67,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,yes,bank transfer (automatic),20.85,1327.4,0
0178-CIIKR,female,0,no,no,3,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,19.95,58.0,0
8204-TIFGJ,female,0,no,no,23,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,bank transfer (automatic),20.3,470.6,0
9588-YRFHY,male,0,no,no,49,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,credit card (automatic),19.9,1022.6,0
3988-RQIXO,female,1,no,no,1,yes,no,fiber optic,no,no,no,no,yes,yes,month-to-month,yes,electronic check,91.3,91.3,1
2761-XECQW,male,1,yes,no,8,no,no phone service,dsl,no,yes,yes,no,no,yes,month-to-month,yes,mailed check,43.35,371.4,0
0774-IFUVM,male,0,yes,yes,11,yes,yes,dsl,yes,no,no,no,yes,no,month-to-month,yes,bank transfer (automatic),65.15,723.35,0
1907-UBQFC,male,1,no,no,10,yes,no,fiber optic,no,yes,no,no,no,no,month-to-month,yes,electronic check,72.85,688.65,1
7817-BOQPW,female,0,no,no,2,yes,yes,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,75.55,166.3,1
1866-NXPSP,female,0,no,no,36,yes,no,dsl,yes,yes,yes,yes,no,yes,one year,yes,mailed check,75.55,2680.15,0
5647-URDKA,male,0,yes,yes,8,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,mailed check,19.7,130.25,0
1899-VXWXM,male,0,no,no,48,yes,yes,fiber optic,no,yes,yes,no,yes,yes,one year,yes,credit card (automatic),106.1,5082.8,1
2242-MFOTG,male,0,no,no,33,yes,yes,fiber optic,yes,no,no,no,no,no,one year,no,bank transfer (automatic),80.1,2603.3,0
0640-YJTPY,male,0,yes,yes,72,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,bank transfer (automatic),21.0,1493.75,0
6982-SSHFK,male,0,no,no,1,yes,no,dsl,no,no,no,no,no,no,month-to-month,no,mailed check,44.4,44.4,1
9057-MSWCO,male,1,yes,no,27,no,no phone service,dsl,yes,no,no,no,no,no,month-to-month,no,credit card (automatic),30.75,805.1,1
6217-KDYWC,male,0,no,yes,57,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,mailed check,19.6,1170.55,0
6390-DSAZX,female,0,no,yes,1,yes,no,fiber optic,yes,no,no,no,no,no,month-to-month,yes,mailed check,73.6,73.6,1
1157-BQCUW,male,0,no,no,1,yes,yes,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,74.95,74.95,1
9524-EGPJC,female,0,no,no,18,yes,yes,fiber optic,no,no,no,yes,no,yes,month-to-month,yes,electronic check,90.1,1612.75,1
8204-YJCLA,male,1,yes,yes,72,no,no phone service,dsl,yes,yes,yes,yes,yes,yes,two year,yes,bank transfer (automatic),64.8,4732.35,0
0868-VJRDR,male,0,yes,no,64,yes,no,fiber optic,yes,yes,no,yes,yes,yes,two year,yes,credit card (automatic),104.05,6605.55,0
0228-MAUWC,male,0,no,no,19,yes,yes,dsl,no,no,yes,yes,no,no,month-to-month,no,electronic check,59.55,1144.6,0
7321-ZNSLA,male,0,yes,yes,13,no,no phone service,dsl,yes,yes,no,yes,no,no,two year,no,mailed check,40.55,590.35,0
1266-NZYUI,female,0,yes,yes,72,yes,yes,dsl,yes,no,yes,yes,no,no,two year,no,bank transfer (automatic),66.85,4758.8,0
6906-MPARY,male,0,no,no,40,yes,no,fiber optic,no,yes,no,yes,no,yes,one year,yes,credit card (automatic),89.6,3488.15,0
7811-JIVPF,female,0,no,no,23,yes,no,dsl,no,no,yes,no,no,no,month-to-month,no,credit card (automatic),49.7,1081.25,0
9189-JWSHV,female,1,yes,no,24,yes,yes,fiber optic,no,no,no,no,yes,yes,month-to-month,yes,electronic check,93.55,2264.05,1
8107-KNCIM,male,1,yes,no,14,yes,yes,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,75.1,1013.35,0
5606-AMZBO,female,0,yes,no,10,yes,yes,fiber optic,yes,no,no,no,no,no,month-to-month,yes,credit card (automatic),78.15,765.15,0
5619-XZZKR,male,0,no,no,4,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,mailed check,19.95,68.2,0
1360-XFJMR,female,0,yes,no,67,yes,yes,fiber optic,no,yes,yes,yes,yes,yes,one year,yes,credit card (automatic),109.7,7344.45,0
0895-UADGO,male,0,no,yes,8,no,no phone service,dsl,yes,no,no,yes,no,yes,two year,yes,mailed check,44.55,343.45,0
1270-XKUCC,female,0,yes,yes,30,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,mailed check,19.7,599.25,0
1689-YQBYY,female,0,no,yes,12,yes,yes,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,76.6,893.0,0
9392-XBGTD,male,0,no,yes,27,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,mailed check,20.6,581.85,0
0854-UYHZD,female,0,yes,yes,13,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,mailed check,19.55,265.3,0
1319-YLZJG,male,0,yes,no,12,yes,no,fiber optic,yes,yes,yes,no,no,no,month-to-month,yes,electronic check,84.6,959.9,0
9677-AVKED,female,0,no,yes,53,yes,yes,dsl,no,yes,yes,yes,yes,yes,one year,yes,electronic check,84.6,4449.75,0
3736-BLEPA,male,0,no,no,28,yes,no,fiber optic,no,yes,no,yes,yes,no,one year,yes,bank transfer (automatic),91.25,2483.65,0
6856-RAURS,female,0,no,no,2,yes,yes,fiber optic,no,no,no,no,no,no,month-to-month,yes,mailed check,74.9,136.05,0
1485-YDHMM,male,0,yes,yes,52,yes,yes,fiber optic,no,yes,no,yes,no,yes,month-to-month,yes,bank transfer (automatic),93.25,4631.7,0
6586-PSJOX,male,0,no,yes,15,yes,no,dsl,no,no,yes,yes,no,no,one year,no,credit card (automatic),55.2,864.55,0
7089-XXAYG,male,0,yes,no,25,no,no phone service,dsl,no,no,yes,no,yes,no,one year,yes,credit card (automatic),38.1,970.4,0
0956-ACVZC,female,0,no,no,54,yes,no,fiber optic,no,no,yes,no,yes,yes,one year,yes,credit card (automatic),94.1,5060.9,0
1559-DTODC,male,0,no,no,19,no,no phone service,dsl,no,no,no,no,no,no,month-to-month,yes,bank transfer (automatic),25.15,468.35,0
3278-FSIXX,female,0,no,no,2,yes,no,dsl,no,no,no,no,no,no,month-to-month,yes,mailed check,45.25,74.2,0
2397-BRLOM,male,1,yes,yes,8,yes,no,fiber optic,no,no,no,no,yes,no,month-to-month,yes,credit card (automatic),80.45,583.45,1
0812-WUPTB,male,1,yes,no,1,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,no,mailed check,70.85,70.85,1
3957-SQXML,female,0,yes,yes,34,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,credit card (automatic),24.95,894.3,0
6416-JNVRK,female,0,no,no,46,yes,no,dsl,no,no,no,no,no,yes,one year,no,credit card (automatic),55.65,2688.85,0
3807-XHCJH,female,0,yes,yes,1,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,electronic check,20.0,20.0,0
3893-JRNFS,male,0,no,no,68,no,no phone service,dsl,no,no,yes,no,no,yes,month-to-month,yes,bank transfer (automatic),39.9,2796.35,0
0336-PIKEI,male,1,yes,no,72,yes,no,dsl,yes,yes,yes,yes,yes,no,two year,no,bank transfer (automatic),74.4,5360.75,0
3727-OVPRY,male,0,yes,yes,66,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,yes,credit card (automatic),25.7,1714.55,0
2202-OUTMO,female,0,yes,no,34,yes,yes,dsl,yes,no,no,yes,no,no,month-to-month,yes,bank transfer (automatic),60.85,2003.6,0
2025-JKFWI,male,0,no,no,13,yes,yes,fiber optic,no,no,no,yes,yes,yes,month-to-month,yes,mailed check,99.0,1301.7,1
8738-JOKAR,female,0,no,no,42,yes,no,dsl,yes,yes,no,yes,no,yes,one year,yes,mailed check,67.7,2882.25,0
9281-OFDMF,male,1,no,no,39,yes,yes,fiber optic,no,yes,no,no,no,yes,month-to-month,no,electronic check,90.7,3413.25,0
8809-RIHDD,male,0,yes,yes,72,yes,yes,fiber optic,no,yes,yes,no,yes,yes,two year,yes,electronic check,103.4,7372.65,1
6497-TILVL,female,0,yes,yes,7,yes,no,dsl,yes,no,no,no,no,no,month-to-month,no,mailed check,50.7,350.35,0
8378-LKJAF,male,0,yes,yes,38,yes,yes,fiber optic,no,no,yes,no,yes,yes,month-to-month,yes,credit card (automatic),101.15,3956.7,0
0357-NVCRI,female,0,no,yes,25,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,credit card (automatic),20.05,471.7,0
8818-DOPVL,female,1,no,no,46,yes,yes,fiber optic,no,yes,yes,no,yes,yes,month-to-month,yes,electronic check,104.45,4863.85,0
2507-QZPQS,male,0,no,no,15,yes,yes,fiber optic,no,yes,no,yes,no,yes,month-to-month,no,electronic check,95.7,1451.1,0
5493-SDRDQ,male,0,no,no,2,yes,no,dsl,yes,no,yes,no,no,no,month-to-month,yes,mailed check,55.1,113.35,1
9133-AYJZG,female,0,no,no,23,yes,yes,fiber optic,no,yes,no,no,yes,yes,month-to-month,yes,credit card (automatic),98.7,2249.1,0
6331-LWDTQ,male,0,no,no,10,yes,yes,dsl,no,no,no,no,yes,yes,month-to-month,yes,credit card (automatic),72.15,794.25,1
3865-YIOTT,male,0,yes,yes,72,yes,yes,fiber optic,yes,no,yes,no,yes,yes,one year,yes,bank transfer (automatic),106.1,7848.5,0
2878-RMWXY,male,1,yes,no,72,yes,yes,fiber optic,yes,yes,yes,no,no,yes,two year,yes,credit card (automatic),102.65,7550.3,0
5296-BFCYD,male,0,yes,yes,46,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,mailed check,20.1,936.85,0
8197-BFWVU,female,0,yes,yes,72,yes,yes,dsl,yes,yes,yes,yes,yes,yes,two year,yes,bank transfer (automatic),93.25,6688.95,0
3389-KTRXV,female,0,yes,yes,23,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,mailed check,23.85,625.65,0
1771-OADNZ,male,1,yes,no,29,yes,yes,fiber optic,no,yes,yes,no,no,yes,month-to-month,yes,electronic check,95.9,2745.2,1
4741-WWJQZ,female,0,yes,no,2,yes,no,fiber optic,yes,no,no,yes,no,no,month-to-month,yes,electronic check,80.15,194.55,0
0679-TDGAK,male,0,yes,yes,50,yes,no,dsl,yes,no,no,yes,yes,yes,one year,no,electronic check,75.5,4025.6,0
5229-PRWKT,male,0,no,no,8,yes,yes,fiber optic,no,no,no,no,no,yes,month-to-month,yes,electronic check,86.55,649.65,1
3633-CDBUW,male,0,no,yes,17,yes,no,dsl,no,yes,yes,yes,yes,yes,one year,no,electronic check,80.85,1445.95,0
4558-CGYCZ,male,0,no,no,4,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,19.75,78.3,0
3164-YAXFY,male,0,no,no,57,no,no phone service,dsl,yes,no,yes,no,yes,yes,month-to-month,yes,electronic check,53.75,3196.0,0
7647-GYYKX,female,0,yes,yes,54,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,bank transfer (automatic),20.35,1092.35,0
6349-JDHQP,female,0,no,no,53,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,credit card (automatic),19.85,1049.6,0
4039-PIMHX,male,1,yes,no,49,yes,no,dsl,no,yes,no,no,no,no,two year,no,mailed check,49.8,2398.4,0
0206-TBWLC,female,0,yes,no,54,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,one year,yes,mailed check,114.65,6049.5,0
